uid,scale,item_index,dimension,response_reversed
76,BPAQ,11,Verbal,3.0
76,BPAQ,12,Verbal,3.0
76,BPAQ,13,Verbal,3.0
76,BPAQ,14,Verbal,3.0
76,BPAQ,15,Anger,4.0
76,BPAQ,16,Anger,3.0
76,BPAQ,17,Anger,3.0
76,BPAQ,18,Anger,2.0
76,BPAQ,19,Anger,3.0
76,BPAQ,20,Anger,2.0
76,BPAQ,21,Anger,3.0
76,BPAQ,22,Hostility,3.0
76,BPAQ,23,Hostility,3.0
76,BPAQ,24,Hostility,3.0
76,BPAQ,25,Hostility,3.0
76,BPAQ,26,Hostility,3.0
76,BPAQ,27,Hostility,4.0
76,BPAQ,28,Hostility,3.0
76,BPAQ,29,Hostility,3.0
76,SSCS,1,Personal Identity,4.0
76,SSCS,2,Personal Identity,4.0
76,SSCS,3,Self-efficacy,4.0
76,SSCS,4,Self-efficacy,5.0
76,SSCS,5,Self-efficacy,4.0
76,SSCS,6,Self-efficacy,4.0
76,SSCS,7,Personal Identity,4.0
76,SSCS,8,Self-efficacy,4.0
76,SSCS,9,Self-efficacy,4.0
76,SSCS,10,Personal Identity,4.0
76,SSCS,11,Personal Identity,4.0
123,BFI,1,Extraversion,3.0
123,BFI,2,Agreeableness,3.0
123,BFI,3,Conscientiousness,4.0
123,BFI,4,Neuroticism,3.0
123,BFI,5,Openness,3.0
123,BFI,6,Extraversion,3.0
123,BFI,7,Agreeableness,4.0
123,BFI,8,Conscientiousness,3.0
123,BFI,9,Neuroticism,3.0
123,BFI,10,Openness,3.0
123,BFI,11,Extraversion,3.0
123,BFI,12,Agreeableness,3.0
123,BFI,13,Conscientiousness,4.0
123,BFI,14,Neuroticism,3.0
123,BFI,15,Openness,3.0
123,BFI,16,Extraversion,3.0
123,BFI,17,Agreeableness,3.0
123,BFI,18,Conscientiousness,3.0
123,BFI,19,Neuroticism,3.0
123,BFI,20,Openness,3.0
123,BFI,21,Extraversion,3.0
123,BFI,22,Agreeableness,4.0
123,BFI,23,Conscientiousness,3.0
123,BFI,24,Neuroticism,3.0
123,BFI,25,Openness,3.0
123,BFI,26,Extraversion,3.0
123,BFI,27,Agreeableness,3.0
123,BFI,28,Conscientiousness,5.0
123,BFI,29,Neuroticism,3.0
123,BFI,30,Openness,3.0
123,BFI,31,Extraversion,2.0
123,BFI,32,Agreeableness,4.0
123,BFI,33,Conscientiousness,3.0
123,BFI,34,Neuroticism,1.0
123,BFI,35,Openness,3.0
123,BFI,36,Extraversion,3.0
123,BFI,37,Agreeableness,3.0
123,BFI,38,Conscientiousness,3.0
123,BFI,39,Neuroticism,3.0
123,BFI,40,Openness,3.0
123,BFI,41,Openness,3.0
123,BFI,42,Agreeableness,3.0
123,BFI,43,Conscientiousness,3.0
123,BFI,44,Openness,3.0
123,PANAS,1,Positive,3.0
123,PANAS,2,Negative,3.0
123,PANAS,3,Positive,3.0
123,PANAS,4,Negative,3.0
123,PANAS,5,Positive,4.0
123,PANAS,6,Negative,3.0
123,PANAS,7,Negative,3.0
123,PANAS,8,Negative,3.0
123,PANAS,9,Positive,4.0
123,PANAS,10,Positive,3.0
123,PANAS,11,Negative,3.0
123,PANAS,12,Positive,4.0
123,PANAS,13,Negative,3.0
123,PANAS,14,Positive,3.0
123,PANAS,15,Negative,3.0
123,PANAS,16,Positive,4.0
123,PANAS,17,Positive,3.0
123,PANAS,18,Negative,3.0
123,PANAS,19,Positive,4.0
123,PANAS,20,Negative,3.0
123,BPAQ,1,Physical,1.0
123,BPAQ,2,Physical,2.0
123,BPAQ,3,Physical,4.0
123,BPAQ,4,Physical,2.0
123,BPAQ,5,Physical,3.0
123,BPAQ,6,Physical,2.0
123,BPAQ,7,Physical,2.0
123,BPAQ,8,Physical,1.0
123,BPAQ,9,Physical,3.0
123,BPAQ,10,Verbal,4.0
123,BPAQ,11,Verbal,4.0
123,BPAQ,12,Verbal,4.0
123,BPAQ,13,Verbal,3.0
123,BPAQ,14,Verbal,4.0
123,BPAQ,15,Anger,4.0
123,BPAQ,16,Anger,4.0
123,BPAQ,17,Anger,3.0
123,BPAQ,18,Anger,2.0
123,BPAQ,19,Anger,3.0
123,BPAQ,20,Anger,2.0
123,BPAQ,21,Anger,3.0
123,BPAQ,22,Hostility,3.0
123,BPAQ,23,Hostility,4.0
123,BPAQ,24,Hostility,3.0
123,BPAQ,25,Hostility,4.0
123,BPAQ,26,Hostility,4.0
123,BPAQ,27,Hostility,4.0
123,BPAQ,28,Hostility,3.0
123,BPAQ,29,Hostility,4.0
123,SSCS,1,Personal Identity,4.0
123,SSCS,2,Personal Identity,3.0
123,SSCS,3,Self-efficacy,4.0
123,SSCS,4,Self-efficacy,4.0
123,SSCS,5,Self-efficacy,4.0
123,SSCS,6,Self-efficacy,4.0
123,SSCS,7,Personal Identity,4.0
123,SSCS,8,Self-efficacy,4.0
123,SSCS,9,Self-efficacy,4.0
123,SSCS,10,Personal Identity,4.0
123,SSCS,11,Personal Identity,4.0
25,BFI,1,Extraversion,3.0
25,BFI,2,Agreeableness,3.0
25,BFI,3,Conscientiousness,4.0
25,BFI,4,Neuroticism,3.0
25,BFI,5,Openness,4.0
25,BFI,6,Extraversion,3.0
25,BFI,7,Agreeableness,4.0
25,BFI,8,Conscientiousness,3.0
25,BFI,9,Neuroticism,2.0
25,BFI,10,Openness,5.0
25,BFI,11,Extraversion,3.0
25,BFI,12,Agreeableness,3.0
25,BFI,13,Conscientiousness,5.0
25,BFI,14,Neuroticism,3.0
25,BFI,15,Openness,3.0
25,BFI,16,Extraversion,3.0
25,BFI,17,Agreeableness,4.0
25,BFI,18,Conscientiousness,3.0
25,BFI,19,Neuroticism,3.0
25,BFI,20,Openness,4.0
25,BFI,21,Extraversion,3.0
25,BFI,22,Agreeableness,3.0
25,BFI,23,Conscientiousness,3.0
25,BFI,24,Neuroticism,2.0
25,BFI,25,Openness,3.0
25,BFI,26,Extraversion,3.0
25,BFI,27,Agreeableness,3.0
25,BFI,28,Conscientiousness,5.0
25,BFI,29,Neuroticism,3.0
25,BFI,30,Openness,3.0
25,BFI,31,Extraversion,3.0
25,BFI,32,Agreeableness,4.0
25,BFI,33,Conscientiousness,3.0
25,BFI,34,Neuroticism,2.0
25,BFI,35,Openness,3.0
25,BFI,36,Extraversion,3.0
25,BFI,37,Agreeableness,3.0
25,BFI,38,Conscientiousness,4.0
25,BFI,39,Neuroticism,3.0
25,BFI,40,Openness,3.0
25,BFI,41,Openness,3.0
25,BFI,42,Agreeableness,4.0
25,BFI,43,Conscientiousness,3.0
25,BFI,44,Openness,3.0
25,PANAS,1,Positive,3.0
25,PANAS,2,Negative,3.0
25,PANAS,3,Positive,4.0
25,PANAS,4,Negative,3.0
25,PANAS,5,Positive,4.0
25,PANAS,6,Negative,3.0
25,PANAS,7,Negative,3.0
25,PANAS,8,Negative,3.0
25,PANAS,9,Positive,4.0
25,PANAS,10,Positive,4.0
25,PANAS,11,Negative,3.0
25,PANAS,12,Positive,3.0
25,PANAS,13,Negative,3.0
25,PANAS,14,Positive,4.0
25,PANAS,15,Negative,3.0
25,PANAS,16,Positive,4.0
25,PANAS,17,Positive,4.0
25,PANAS,18,Negative,3.0
25,PANAS,19,Positive,4.0
25,PANAS,20,Negative,3.0
25,BPAQ,1,Physical,1.0
25,BPAQ,2,Physical,2.0
25,BPAQ,3,Physical,4.0
25,BPAQ,4,Physical,3.0
25,BPAQ,5,Physical,3.0
25,BPAQ,6,Physical,2.0
25,BPAQ,7,Physical,1.0
25,BPAQ,8,Physical,2.0
25,BPAQ,9,Physical,3.0
25,BPAQ,10,Verbal,4.0
25,BPAQ,11,Verbal,3.0
25,BPAQ,12,Verbal,3.0
25,BPAQ,13,Verbal,3.0
25,BPAQ,14,Verbal,3.0
25,BPAQ,15,Anger,4.0
25,BPAQ,16,Anger,3.0
25,BPAQ,17,Anger,3.0
25,BPAQ,18,Anger,2.0
25,BPAQ,19,Anger,3.0
25,BPAQ,20,Anger,3.0
25,BPAQ,21,Anger,3.0
25,BPAQ,22,Hostility,3.0
25,BPAQ,23,Hostility,3.0
25,BPAQ,24,Hostility,4.0
25,BPAQ,25,Hostility,3.0
25,BPAQ,26,Hostility,3.0
25,BPAQ,27,Hostility,4.0
25,BPAQ,28,Hostility,3.0
25,BPAQ,29,Hostility,3.0
25,SSCS,1,Personal Identity,4.0
25,SSCS,2,Personal Identity,4.0
25,SSCS,3,Self-efficacy,4.0
25,SSCS,4,Self-efficacy,4.0
25,SSCS,5,Self-efficacy,4.0
25,SSCS,6,Self-efficacy,4.0
25,SSCS,7,Personal Identity,4.0
25,SSCS,8,Self-efficacy,4.0
25,SSCS,9,Self-efficacy,4.0
25,SSCS,10,Personal Identity,4.0
25,SSCS,11,Personal Identity,4.0
148,BFI,1,Extraversion,3.0
148,BFI,2,Agreeableness,3.0
148,BFI,3,Conscientiousness,4.0
148,BFI,4,Neuroticism,3.0
148,BFI,5,Openness,4.0
148,BFI,6,Extraversion,2.0
148,BFI,7,Agreeableness,4.0
148,BFI,8,Conscientiousness,2.0
148,BFI,9,Neuroticism,2.0
148,BFI,10,Openness,4.0
148,BFI,11,Extraversion,4.0
148,BFI,12,Agreeableness,3.0
148,BFI,13,Conscientiousness,4.0
148,BFI,14,Neuroticism,3.0
148,BFI,15,Openness,4.0
148,BFI,16,Extraversion,4.0
148,BFI,17,Agreeableness,4.0
148,BFI,18,Conscientiousness,2.0
148,BFI,19,Neuroticism,3.0
148,BFI,20,Openness,4.0
148,BFI,21,Extraversion,2.0
148,BFI,22,Agreeableness,3.0
148,BFI,23,Conscientiousness,3.0
148,BFI,24,Neuroticism,2.0
148,BFI,25,Openness,4.0
148,BFI,26,Extraversion,4.0
148,BFI,27,Agreeableness,3.0
148,BFI,28,Conscientiousness,4.0
148,BFI,29,Neuroticism,3.0
148,BFI,30,Openness,4.0
148,BFI,31,Extraversion,2.0
148,BFI,32,Agreeableness,4.0
148,BFI,33,Conscientiousness,4.0
148,BFI,34,Neuroticism,2.0
148,BFI,35,Openness,3.0
148,BFI,36,Extraversion,4.0
148,BFI,37,Agreeableness,3.0
148,BFI,38,Conscientiousness,4.0
148,BFI,39,Neuroticism,3.0
148,BFI,40,Openness,4.0
148,BFI,41,Openness,2.0
148,BFI,42,Agreeableness,4.0
148,BFI,43,Conscientiousness,3.0
148,BFI,44,Openness,4.0
148,PANAS,1,Positive,4.0
148,PANAS,2,Negative,1.0
148,PANAS,3,Positive,4.0
148,PANAS,4,Negative,1.0
148,PANAS,5,Positive,4.0
148,PANAS,6,Negative,2.0
148,PANAS,7,Negative,2.0
148,PANAS,8,Negative,1.0
148,PANAS,9,Positive,4.0
148,PANAS,10,Positive,4.0
148,PANAS,11,Negative,3.0
148,PANAS,12,Positive,4.0
148,PANAS,13,Negative,2.0
148,PANAS,14,Positive,4.0
148,PANAS,15,Negative,3.0
148,PANAS,16,Positive,4.0
148,PANAS,17,Positive,4.0
148,PANAS,18,Negative,2.0
148,PANAS,19,Positive,4.0
148,PANAS,20,Negative,1.0
148,BPAQ,1,Physical,1.0
148,BPAQ,2,Physical,1.0
148,BPAQ,3,Physical,4.0
148,BPAQ,4,Physical,2.0
148,BPAQ,5,Physical,2.0
148,BPAQ,6,Physical,1.0
148,BPAQ,7,Physical,2.0
148,BPAQ,8,Physical,1.0
148,BPAQ,9,Physical,2.0
148,BPAQ,10,Verbal,4.0
148,BPAQ,11,Verbal,4.0
148,BPAQ,12,Verbal,3.0
148,BPAQ,13,Verbal,2.0
148,BPAQ,14,Verbal,3.0
148,BPAQ,15,Anger,4.0
148,BPAQ,16,Anger,3.0
148,BPAQ,17,Anger,4.0
148,BPAQ,18,Anger,2.0
148,BPAQ,19,Anger,2.0
148,BPAQ,20,Anger,2.0
148,BPAQ,21,Anger,3.0
148,BPAQ,22,Hostility,3.0
148,BPAQ,23,Hostility,3.0
148,BPAQ,24,Hostility,4.0
148,BPAQ,25,Hostility,3.0
148,BPAQ,26,Hostility,3.0
148,BPAQ,27,Hostility,4.0
148,BPAQ,28,Hostility,1.0
148,BPAQ,29,Hostility,3.0
148,SSCS,1,Personal Identity,4.0
148,SSCS,2,Personal Identity,4.0
148,SSCS,3,Self-efficacy,4.0
148,SSCS,4,Self-efficacy,4.0
148,SSCS,5,Self-efficacy,4.0
148,SSCS,6,Self-efficacy,4.0
148,SSCS,7,Personal Identity,4.0
148,SSCS,8,Self-efficacy,4.0
148,SSCS,9,Self-efficacy,4.0
148,SSCS,10,Personal Identity,4.0
148,SSCS,11,Personal Identity,4.0
146,BFI,1,Extraversion,3.0
146,BFI,2,Agreeableness,3.0
146,BFI,3,Conscientiousness,4.0
146,BFI,4,Neuroticism,3.0
146,BFI,5,Openness,3.0
146,BFI,6,Extraversion,3.0
146,BFI,7,Agreeableness,3.0
146,BFI,8,Conscientiousness,4.0
146,BFI,9,Neuroticism,3.0
146,BFI,10,Openness,3.0
146,BFI,11,Extraversion,3.0
146,BFI,12,Agreeableness,3.0
146,BFI,13,Conscientiousness,4.0
146,BFI,14,Neuroticism,3.0
146,BFI,15,Openness,3.0
146,BFI,16,Extraversion,3.0
146,BFI,17,Agreeableness,3.0
146,BFI,18,Conscientiousness,3.0
146,BFI,19,Neuroticism,3.0
146,BFI,20,Openness,3.0
146,BFI,21,Extraversion,3.0
146,BFI,22,Agreeableness,3.0
146,BFI,23,Conscientiousness,3.0
146,BFI,24,Neuroticism,3.0
146,BFI,25,Openness,3.0
146,BFI,26,Extraversion,3.0
146,BFI,27,Agreeableness,3.0
146,BFI,28,Conscientiousness,3.0
146,BFI,29,Neuroticism,3.0
146,BFI,30,Openness,3.0
146,BFI,31,Extraversion,3.0
146,BFI,32,Agreeableness,3.0
146,BFI,33,Conscientiousness,3.0
146,BFI,34,Neuroticism,2.0
146,BFI,35,Openness,3.0
146,BFI,36,Extraversion,3.0
146,BFI,37,Agreeableness,3.0
146,BFI,38,Conscientiousness,4.0
146,BFI,39,Neuroticism,3.0
146,BFI,40,Openness,3.0
146,BFI,41,Openness,3.0
146,BFI,42,Agreeableness,3.0
146,BFI,43,Conscientiousness,3.0
146,BFI,44,Openness,3.0
146,PANAS,1,Positive,4.0
146,PANAS,2,Negative,2.0
146,PANAS,3,Positive,3.0
146,PANAS,4,Negative,3.0
146,PANAS,5,Positive,3.0
146,PANAS,6,Negative,3.0
146,PANAS,7,Negative,3.0
146,PANAS,8,Negative,1.0
146,PANAS,9,Positive,4.0
146,PANAS,10,Positive,3.0
146,PANAS,11,Negative,3.0
146,PANAS,12,Positive,4.0
146,PANAS,13,Negative,3.0
146,PANAS,14,Positive,3.0
146,PANAS,15,Negative,3.0
146,PANAS,16,Positive,4.0
146,PANAS,17,Positive,4.0
146,PANAS,18,Negative,1.0
146,PANAS,19,Positive,3.0
146,PANAS,20,Negative,3.0
146,BPAQ,1,Physical,1.0
146,BPAQ,2,Physical,2.0
146,BPAQ,3,Physical,3.0
146,BPAQ,4,Physical,2.0
146,BPAQ,5,Physical,3.0
146,BPAQ,6,Physical,2.0
146,BPAQ,7,Physical,2.0
146,BPAQ,8,Physical,1.0
146,BPAQ,9,Physical,2.0
146,BPAQ,10,Verbal,4.0
146,BPAQ,11,Verbal,3.0
146,BPAQ,12,Verbal,3.0
146,BPAQ,13,Verbal,3.0
146,BPAQ,14,Verbal,3.0
146,BPAQ,15,Anger,4.0
146,BPAQ,16,Anger,3.0
146,BPAQ,17,Anger,3.0
146,BPAQ,18,Anger,2.0
146,BPAQ,19,Anger,2.0
146,BPAQ,20,Anger,2.0
146,BPAQ,21,Anger,3.0
146,BPAQ,22,Hostility,3.0
146,BPAQ,23,Hostility,3.0
146,BPAQ,24,Hostility,3.0
146,BPAQ,25,Hostility,3.0
146,BPAQ,26,Hostility,3.0
146,BPAQ,27,Hostility,4.0
146,BPAQ,28,Hostility,3.0
146,BPAQ,29,Hostility,3.0
146,SSCS,1,Personal Identity,4.0
146,SSCS,2,Personal Identity,4.0
146,SSCS,3,Self-efficacy,4.0
146,SSCS,4,Self-efficacy,4.0
146,SSCS,5,Self-efficacy,4.0
146,SSCS,6,Self-efficacy,4.0
146,SSCS,7,Personal Identity,4.0
146,SSCS,8,Self-efficacy,4.0
146,SSCS,9,Self-efficacy,4.0
146,SSCS,10,Personal Identity,4.0
146,SSCS,11,Personal Identity,4.0
82,BFI,1,Extraversion,3.0
82,BFI,2,Agreeableness,3.0
82,BFI,3,Conscientiousness,4.0
82,BFI,4,Neuroticism,3.0
82,BFI,5,Openness,4.0
82,BFI,6,Extraversion,3.0
82,BFI,7,Agreeableness,5.0
82,BFI,8,Conscientiousness,4.0
82,BFI,9,Neuroticism,2.0
82,BFI,10,Openness,4.0
82,BFI,11,Extraversion,3.0
82,BFI,12,Agreeableness,3.0
82,BFI,13,Conscientiousness,4.0
82,BFI,14,Neuroticism,4.0
82,BFI,15,Openness,3.0
82,BFI,16,Extraversion,3.0
82,BFI,17,Agreeableness,4.0
82,BFI,18,Conscientiousness,5.0
82,BFI,19,Neuroticism,3.0
82,BFI,20,Openness,4.0
82,BFI,21,Extraversion,3.0
82,BFI,22,Agreeableness,4.0
82,BFI,23,Conscientiousness,2.0
82,BFI,24,Neuroticism,2.0
82,BFI,25,Openness,4.0
82,BFI,26,Extraversion,4.0
82,BFI,27,Agreeableness,3.0
82,BFI,28,Conscientiousness,5.0
82,BFI,29,Neuroticism,3.0
82,BFI,30,Openness,4.0
82,BFI,31,Extraversion,3.0
82,BFI,32,Agreeableness,4.0
82,BFI,33,Conscientiousness,4.0
82,BFI,34,Neuroticism,1.0
82,BFI,35,Openness,3.0
82,BFI,36,Extraversion,3.0
82,BFI,37,Agreeableness,5.0
82,BFI,38,Conscientiousness,4.0
82,BFI,39,Neuroticism,2.0
82,BFI,40,Openness,4.0
82,BFI,41,Openness,2.0
82,BFI,42,Agreeableness,4.0
82,BFI,43,Conscientiousness,3.0
82,BFI,44,Openness,3.0
82,PANAS,1,Positive,4.0
82,PANAS,2,Negative,3.0
82,PANAS,3,Positive,3.0
82,PANAS,4,Negative,3.0
82,PANAS,5,Positive,4.0
82,PANAS,6,Negative,3.0
82,PANAS,7,Negative,2.0
82,PANAS,8,Negative,2.0
82,PANAS,9,Positive,4.0
82,PANAS,10,Positive,4.0
82,PANAS,11,Negative,3.0
82,PANAS,12,Positive,4.0
82,PANAS,13,Negative,2.0
82,PANAS,14,Positive,4.0
82,PANAS,15,Negative,3.0
82,PANAS,16,Positive,4.0
82,PANAS,17,Positive,4.0
82,PANAS,18,Negative,3.0
82,PANAS,19,Positive,3.0
82,PANAS,20,Negative,2.0
82,BPAQ,1,Physical,
82,BPAQ,2,Physical,2.0
82,BPAQ,3,Physical,2.0
82,BPAQ,4,Physical,2.0
82,BPAQ,5,Physical,3.0
82,BPAQ,6,Physical,2.0
82,BPAQ,7,Physical,1.0
82,BPAQ,8,Physical,1.0
82,BPAQ,9,Physical,2.0
82,BPAQ,10,Verbal,4.0
82,BPAQ,11,Verbal,3.0
82,BPAQ,12,Verbal,2.0
82,BPAQ,13,Verbal,3.0
82,BPAQ,14,Verbal,3.0
82,BPAQ,15,Anger,3.0
82,BPAQ,16,Anger,3.0
82,BPAQ,17,Anger,3.0
82,BPAQ,18,Anger,2.0
82,BPAQ,19,Anger,2.0
82,BPAQ,20,Anger,2.0
82,BPAQ,21,Anger,3.0
82,BPAQ,22,Hostility,3.0
82,BPAQ,23,Hostility,3.0
82,BPAQ,24,Hostility,3.0
82,BPAQ,25,Hostility,3.0
82,BPAQ,26,Hostility,4.0
82,BPAQ,27,Hostility,4.0
82,BPAQ,28,Hostility,3.0
82,BPAQ,29,Hostility,3.0
82,SSCS,1,Personal Identity,4.0
82,SSCS,2,Personal Identity,4.0
82,SSCS,3,Self-efficacy,4.0
82,SSCS,4,Self-efficacy,4.0
82,SSCS,5,Self-efficacy,4.0
82,SSCS,6,Self-efficacy,4.0
82,SSCS,7,Personal Identity,4.0
82,SSCS,8,Self-efficacy,4.0
82,SSCS,9,Self-efficacy,4.0
82,SSCS,10,Personal Identity,4.0
82,SSCS,11,Personal Identity,4.0
47,BFI,1,Extraversion,3.0
47,BFI,2,Agreeableness,3.0
47,BFI,3,Conscientiousness,4.0
47,BFI,4,Neuroticism,3.0
47,BFI,5,Openness,4.0
47,BFI,6,Extraversion,3.0
47,BFI,7,Agreeableness,4.0
47,BFI,8,Conscientiousness,3.0
47,BFI,9,Neuroticism,2.0
47,BFI,10,Openness,5.0
47,BFI,11,Extraversion,4.0
47,BFI,12,Agreeableness,3.0
47,BFI,13,Conscientiousness,4.0
47,BFI,14,Neuroticism,3.0
47,BFI,15,Openness,4.0
47,BFI,16,Extraversion,4.0
47,BFI,17,Agreeableness,4.0
47,BFI,18,Conscientiousness,3.0
47,BFI,19,Neuroticism,3.0
47,BFI,20,Openness,4.0
47,BFI,21,Extraversion,3.0
47,BFI,22,Agreeableness,4.0
47,BFI,23,Conscientiousness,3.0
47,BFI,24,Neuroticism,2.0
47,BFI,25,Openness,4.0
47,BFI,26,Extraversion,4.0
47,BFI,27,Agreeableness,3.0
47,BFI,28,Conscientiousness,5.0
47,BFI,29,Neuroticism,3.0
47,BFI,30,Openness,4.0
47,BFI,31,Extraversion,3.0
47,BFI,32,Agreeableness,4.0
47,BFI,33,Conscientiousness,4.0
47,BFI,34,Neuroticism,2.0
47,BFI,35,Openness,3.0
47,BFI,36,Extraversion,3.0
47,BFI,37,Agreeableness,3.0
47,BFI,38,Conscientiousness,4.0
47,BFI,39,Neuroticism,3.0
47,BFI,40,Openness,4.0
47,BFI,41,Openness,2.0
47,BFI,42,Agreeableness,4.0
47,BFI,43,Conscientiousness,3.0
47,BFI,44,Openness,3.0
47,PANAS,1,Positive,5.0
47,PANAS,2,Negative,1.0
47,PANAS,3,Positive,4.0
47,PANAS,4,Negative,1.0
47,PANAS,5,Positive,4.0
47,PANAS,6,Negative,2.0
47,PANAS,7,Negative,1.0
47,PANAS,8,Negative,1.0
47,PANAS,9,Positive,4.0
47,PANAS,10,Positive,4.0
47,PANAS,11,Negative,3.0
47,PANAS,12,Positive,4.0
47,PANAS,13,Negative,2.0
47,PANAS,14,Positive,4.0
47,PANAS,15,Negative,2.0
47,PANAS,16,Positive,4.0
47,PANAS,17,Positive,4.0
47,PANAS,18,Negative,2.0
47,PANAS,19,Positive,4.0
47,PANAS,20,Negative,2.0
47,BPAQ,1,Physical,1.0
47,BPAQ,2,Physical,1.0
47,BPAQ,3,Physical,3.0
47,BPAQ,4,Physical,1.0
47,BPAQ,5,Physical,3.0
47,BPAQ,6,Physical,1.0
47,BPAQ,7,Physical,2.0
47,BPAQ,8,Physical,1.0
47,BPAQ,9,Physical,2.0
47,BPAQ,10,Verbal,4.0
47,BPAQ,11,Verbal,3.0
47,BPAQ,12,Verbal,3.0
47,BPAQ,13,Verbal,3.0
47,BPAQ,14,Verbal,3.0
47,BPAQ,15,Anger,3.0
47,BPAQ,16,Anger,2.0
47,BPAQ,17,Anger,3.0
47,BPAQ,18,Anger,2.0
47,BPAQ,19,Anger,2.0
47,BPAQ,20,Anger,2.0
47,BPAQ,21,Anger,3.0
47,BPAQ,22,Hostility,3.0
47,BPAQ,23,Hostility,3.0
47,BPAQ,24,Hostility,3.0
47,BPAQ,25,Hostility,3.0
47,BPAQ,26,Hostility,3.0
47,BPAQ,27,Hostility,4.0
47,BPAQ,28,Hostility,3.0
47,BPAQ,29,Hostility,3.0
47,SSCS,1,Personal Identity,4.0
47,SSCS,2,Personal Identity,4.0
47,SSCS,3,Self-efficacy,4.0
47,SSCS,4,Self-efficacy,4.0
47,SSCS,5,Self-efficacy,4.0
47,SSCS,6,Self-efficacy,4.0
47,SSCS,7,Personal Identity,4.0
47,SSCS,8,Self-efficacy,4.0
47,SSCS,9,Self-efficacy,4.0
47,SSCS,10,Personal Identity,4.0
47,SSCS,11,Personal Identity,4.0
126,BFI,1,Extraversion,3.0
126,BFI,2,Agreeableness,3.0
126,BFI,3,Conscientiousness,3.0
126,BFI,4,Neuroticism,3.0
126,BFI,5,Openness,3.0
126,BFI,6,Extraversion,3.0
126,BFI,7,Agreeableness,4.0
126,BFI,8,Conscientiousness,3.0
126,BFI,9,Neuroticism,3.0
126,BFI,10,Openness,4.0
126,BFI,11,Extraversion,3.0
126,BFI,12,Agreeableness,3.0
126,BFI,13,Conscientiousness,3.0
126,BFI,14,Neuroticism,3.0
126,BFI,15,Openness,4.0
126,BFI,16,Extraversion,3.0
126,BFI,17,Agreeableness,3.0
126,BFI,18,Conscientiousness,3.0
126,BFI,19,Neuroticism,3.0
126,BFI,20,Openness,3.0
126,BFI,21,Extraversion,3.0
126,BFI,22,Agreeableness,3.0
126,BFI,23,Conscientiousness,3.0
126,BFI,24,Neuroticism,3.0
126,BFI,25,Openness,3.0
126,BFI,26,Extraversion,3.0
126,BFI,27,Agreeableness,3.0
126,BFI,28,Conscientiousness,4.0
126,BFI,29,Neuroticism,3.0
126,BFI,30,Openness,4.0
126,BFI,31,Extraversion,3.0
126,BFI,32,Agreeableness,3.0
