uid,item_index,dimension,response_reversed
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,34,Neuroticism,2.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,35,Openness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,36,Extraversion,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,37,Agreeableness,5.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,38,Conscientiousness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,39,Neuroticism,3.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,40,Openness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,41,Openness,3.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,42,Agreeableness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,43,Conscientiousness,3.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,44,Openness,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,1,Extraversion,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,2,Agreeableness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,3,Conscientiousness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,4,Neuroticism,2.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,5,Openness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,6,Extraversion,2.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,7,Agreeableness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,8,Conscientiousness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,9,Neuroticism,2.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,10,Openness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,11,Extraversion,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,12,Agreeableness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,13,Conscientiousness,5.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,14,Neuroticism,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,15,Openness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,16,Extraversion,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,17,Agreeableness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,18,Conscientiousness,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,19,Neuroticism,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,20,Openness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,21,Extraversion,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,22,Agreeableness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,23,Conscientiousness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,24,Neuroticism,2.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,25,Openness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,26,Extraversion,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,27,Agreeableness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,28,Conscientiousness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,29,Neuroticism,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,30,Openness,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,31,Extraversion,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,32,Agreeableness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,33,Conscientiousness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,34,Neuroticism,2.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,35,Openness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,36,Extraversion,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,37,Agreeableness,5.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,38,Conscientiousness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,39,Neuroticism,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,40,Openness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,41,Openness,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,42,Agreeableness,4.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,43,Conscientiousness,3.0
21f1b6f7c6ced9e3f4c805d3cccaee6de4a7c657,44,Openness,3.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,1,Extraversion,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,2,Agreeableness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,3,Conscientiousness,5.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,4,Neuroticism,1.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,5,Openness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,6,Extraversion,3.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,7,Agreeableness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,8,Conscientiousness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,9,Neuroticism,2.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,10,Openness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,11,Extraversion,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,12,Agreeableness,5.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,13,Conscientiousness,5.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,14,Neuroticism,3.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,15,Openness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,16,Extraversion,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,17,Agreeableness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,18,Conscientiousness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,19,Neuroticism,2.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,20,Openness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,21,Extraversion,3.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,22,Agreeableness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,23,Conscientiousness,5.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,24,Neuroticism,2.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,25,Openness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,26,Extraversion,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,27,Agreeableness,3.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,28,Conscientiousness,5.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,29,Neuroticism,3.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,30,Openness,3.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,31,Extraversion,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,32,Agreeableness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,33,Conscientiousness,5.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,34,Neuroticism,2.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,35,Openness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,36,Extraversion,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,37,Agreeableness,5.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,38,Conscientiousness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,39,Neuroticism,2.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,40,Openness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,41,Openness,3.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,42,Agreeableness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,43,Conscientiousness,4.0
62fdeb795ca7af9f0bf0cbf8498e8501aabc612a,44,Openness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,1,Extraversion,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,2,Agreeableness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,3,Conscientiousness,5.0
fbc77cf36c46b0f79f3afd306748638c936033d3,4,Neuroticism,1.0
fbc77cf36c46b0f79f3afd306748638c936033d3,5,Openness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,6,Extraversion,2.0
fbc77cf36c46b0f79f3afd306748638c936033d3,7,Agreeableness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,8,Conscientiousness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,9,Neuroticism,2.0
fbc77cf36c46b0f79f3afd306748638c936033d3,10,Openness,5.0
fbc77cf36c46b0f79f3afd306748638c936033d3,11,Extraversion,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,12,Agreeableness,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,13,Conscientiousness,5.0
fbc77cf36c46b0f79f3afd306748638c936033d3,14,Neuroticism,2.0
fbc77cf36c46b0f79f3afd306748638c936033d3,15,Openness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,16,Extraversion,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,17,Agreeableness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,18,Conscientiousness,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,19,Neuroticism,2.0
fbc77cf36c46b0f79f3afd306748638c936033d3,20,Openness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,21,Extraversion,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,22,Agreeableness,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,23,Conscientiousness,5.0
fbc77cf36c46b0f79f3afd306748638c936033d3,24,Neuroticism,2.0
fbc77cf36c46b0f79f3afd306748638c936033d3,25,Openness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,26,Extraversion,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,27,Agreeableness,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,28,Conscientiousness,5.0
fbc77cf36c46b0f79f3afd306748638c936033d3,29,Neuroticism,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,30,Openness,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,31,Extraversion,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,32,Agreeableness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,33,Conscientiousness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,34,Neuroticism,2.0
fbc77cf36c46b0f79f3afd306748638c936033d3,35,Openness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,36,Extraversion,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,37,Agreeableness,5.0
fbc77cf36c46b0f79f3afd306748638c936033d3,38,Conscientiousness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,39,Neuroticism,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,40,Openness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,41,Openness,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,42,Agreeableness,4.0
fbc77cf36c46b0f79f3afd306748638c936033d3,43,Conscientiousness,3.0
fbc77cf36c46b0f79f3afd306748638c936033d3,44,Openness,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,1,Extraversion,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,2,Agreeableness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,3,Conscientiousness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,4,Neuroticism,2.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,5,Openness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,6,Extraversion,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,7,Agreeableness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,8,Conscientiousness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,9,Neuroticism,2.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,10,Openness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,11,Extraversion,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,12,Agreeableness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,13,Conscientiousness,5.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,14,Neuroticism,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,15,Openness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,16,Extraversion,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,17,Agreeableness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,18,Conscientiousness,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,19,Neuroticism,2.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,20,Openness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,21,Extraversion,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,22,Agreeableness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,23,Conscientiousness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,24,Neuroticism,2.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,25,Openness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,26,Extraversion,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,27,Agreeableness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,28,Conscientiousness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,29,Neuroticism,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,30,Openness,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,31,Extraversion,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,32,Agreeableness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,33,Conscientiousness,5.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,34,Neuroticism,2.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,35,Openness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,36,Extraversion,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,37,Agreeableness,5.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,38,Conscientiousness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,39,Neuroticism,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,40,Openness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,41,Openness,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,42,Agreeableness,4.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,43,Conscientiousness,3.0
7d2c2587f29b5a7c543c424c7fc3216c0e0ec923,44,Openness,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,1,Extraversion,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,2,Agreeableness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,3,Conscientiousness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,4,Neuroticism,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,5,Openness,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,6,Extraversion,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,7,Agreeableness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,8,Conscientiousness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,9,Neuroticism,2.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,10,Openness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,11,Extraversion,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,12,Agreeableness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,13,Conscientiousness,5.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,14,Neuroticism,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,15,Openness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,16,Extraversion,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,17,Agreeableness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,18,Conscientiousness,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,19,Neuroticism,2.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,20,Openness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,21,Extraversion,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,22,Agreeableness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,23,Conscientiousness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,24,Neuroticism,2.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,25,Openness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,26,Extraversion,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,27,Agreeableness,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,28,Conscientiousness,5.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,29,Neuroticism,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,30,Openness,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,31,Extraversion,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,32,Agreeableness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,33,Conscientiousness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,34,Neuroticism,2.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,35,Openness,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,36,Extraversion,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,37,Agreeableness,5.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,38,Conscientiousness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,39,Neuroticism,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,40,Openness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,41,Openness,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,42,Agreeableness,4.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,43,Conscientiousness,3.0
8a300c88060c9c900d72dc5a068c96c2f5ecab2d,44,Openness,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,1,Extraversion,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,2,Agreeableness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,3,Conscientiousness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,4,Neuroticism,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,5,Openness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,6,Extraversion,2.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,7,Agreeableness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,8,Conscientiousness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,9,Neuroticism,2.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,10,Openness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,11,Extraversion,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,12,Agreeableness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,13,Conscientiousness,5.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,14,Neuroticism,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,15,Openness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,16,Extraversion,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,17,Agreeableness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,18,Conscientiousness,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,19,Neuroticism,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,20,Openness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,21,Extraversion,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,22,Agreeableness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,23,Conscientiousness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,24,Neuroticism,2.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,25,Openness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,26,Extraversion,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,27,Agreeableness,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,28,Conscientiousness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,29,Neuroticism,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,30,Openness,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,31,Extraversion,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,32,Agreeableness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,33,Conscientiousness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,34,Neuroticism,2.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,35,Openness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,36,Extraversion,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,37,Agreeableness,5.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,38,Conscientiousness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,39,Neuroticism,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,40,Openness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,41,Openness,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,42,Agreeableness,4.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,43,Conscientiousness,3.0
ec71c078e1afe63ec1016121789c675f0e3a4f1c,44,Openness,3.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,1,Extraversion,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,2,Agreeableness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,3,Conscientiousness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,4,Neuroticism,1.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,5,Openness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,6,Extraversion,3.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,7,Agreeableness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,8,Conscientiousness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,9,Neuroticism,2.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,10,Openness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,11,Extraversion,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,12,Agreeableness,3.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,13,Conscientiousness,5.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,14,Neuroticism,3.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,15,Openness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,16,Extraversion,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,17,Agreeableness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,18,Conscientiousness,3.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,19,Neuroticism,3.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,20,Openness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,21,Extraversion,3.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,22,Agreeableness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,23,Conscientiousness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,24,Neuroticism,2.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,25,Openness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,26,Extraversion,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,27,Agreeableness,4.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,28,Conscientiousness,5.0
9f78248b339cbc37df3631317ecab6bbc726b9c9,29,Neuroticism,3.0
